title,director,country,listed_in,type,combined_features
Mad for Each Other,Not Given,Pakistan,"International TV Shows, Romantic TV Shows, TV Comedies",TV Show,"Mad for Each Other Not Given Pakistan International TV Shows, Romantic TV Shows, TV Comedies TV Show"
Sam Smith: Love Goes - Live at Abbey Road Studios,Not Given,Pakistan,"International Movies, Music & Musicals",Movie,"Sam Smith: Love Goes - Live at Abbey Road Studios Not Given Pakistan International Movies, Music & Musicals Movie"
Miniforce: Super Dino Power,Not Given,Pakistan,Kids' TV,TV Show,Miniforce: Super Dino Power Not Given Pakistan Kids' TV TV Show
Barney and Friends,Not Given,Pakistan,Kids' TV,TV Show,Barney and Friends Not Given Pakistan Kids' TV TV Show
Pet Stars,Not Given,Pakistan,Reality TV,TV Show,Pet Stars Not Given Pakistan Reality TV TV Show
The Unremarkable Juanquini,Not Given,Pakistan,"International TV Shows, Spanish-Language TV Shows, TV Comedies",TV Show,"The Unremarkable Juanquini Not Given Pakistan International TV Shows, Spanish-Language TV Shows, TV Comedies TV Show"
Yasuke,Not Given,Pakistan,"Anime Series, International TV Shows",TV Show,"Yasuke Not Given Pakistan Anime Series, International TV Shows TV Show"
Headspace Guide to Sleep,Not Given,Pakistan,"Docuseries, Science & Nature TV",TV Show,"Headspace Guide to Sleep Not Given Pakistan Docuseries, Science & Nature TV TV Show"
Countdown: Inspiration4 Mission to Space,Jason Hehir,Not Given,"Docuseries, Science & Nature TV",TV Show,"Countdown: Inspiration4 Mission to Space Jason Hehir Not Given Docuseries, Science & Nature TV TV Show"
Shadow Parties,Yemi Amodu,Not Given,"Dramas, International Movies, Thrillers",Movie,"Shadow Parties Yemi Amodu Not Given Dramas, International Movies, Thrillers Movie"
Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier Gómez Santander",Not Given,"Docuseries, International TV Shows, Spanish-Language TV Shows",TV Show,"Money Heist: From Tokyo to Berlin Luis Alfaro, Javier Gómez Santander Not Given Docuseries, International TV Shows, Spanish-Language TV Shows TV Show"
Bright Star,Jane Campion,United Kingdom,"Dramas, Romantic Movies",Movie,"Bright Star Jane Campion United Kingdom Dramas, Romantic Movies Movie"
Dhanak,Nagesh Kukunoor,India,"Comedies, Dramas, Independent Movies",Movie,"Dhanak Nagesh Kukunoor India Comedies, Dramas, Independent Movies Movie"
Final Account,Luke Holland,United Kingdom,Documentaries,Movie,Final Account Luke Holland United Kingdom Documentaries Movie
Gurgaon,Shanker Raman,India,"Dramas, International Movies, Thrillers",Movie,"Gurgaon Shanker Raman India Dramas, International Movies, Thrillers Movie"
Here and There,JP Habac,Philippines,"Dramas, International Movies, Romantic Movies",Movie,"Here and There JP Habac Philippines Dramas, International Movies, Romantic Movies Movie"
Agatha Christie's Crooked House,Gilles Paquet-Brenner,France,"Dramas, International Movies, Thrillers",Movie,"Agatha Christie's Crooked House Gilles Paquet-Brenner France Dramas, International Movies, Thrillers Movie"
In the Cut,Jane Campion,United Kingdom,Thrillers,Movie,In the Cut Jane Campion United Kingdom Thrillers Movie
Keymon and Nani in Space Adventure,Not Given,Pakistan,"Children & Family Movies, Comedies",Movie,"Keymon and Nani in Space Adventure Not Given Pakistan Children & Family Movies, Comedies Movie"
Rudra: The Rise of King Pharaoh,Not Given,Pakistan,Children & Family Movies,Movie,Rudra: The Rise of King Pharaoh Not Given Pakistan Children & Family Movies Movie
Bakugan: Geogan Rising,Not Given,Pakistan,"Anime Series, Kids' TV",TV Show,"Bakugan: Geogan Rising Not Given Pakistan Anime Series, Kids' TV TV Show"
Shikara,Vidhu Vinod Chopra,India,"Dramas, International Movies, Romantic Movies",Movie,"Shikara Vidhu Vinod Chopra India Dramas, International Movies, Romantic Movies Movie"
A Cinderella Story,Mark Rosman,United States,"Children & Family Movies, Comedies",Movie,"A Cinderella Story Mark Rosman United States Children & Family Movies, Comedies Movie"
An Unfinished Life,Lasse Hallström,Germany,Dramas,Movie,An Unfinished Life Lasse Hallström Germany Dramas Movie
Blade Runner: The Final Cut,Ridley Scott,United States,"Action & Adventure, Classic Movies, Cult Movies",Movie,"Blade Runner: The Final Cut Ridley Scott United States Action & Adventure, Classic Movies, Cult Movies Movie"
Dad Stop Embarrassing Me - The Afterparty,Not Given,Pakistan,Comedies,Movie,Dad Stop Embarrassing Me - The Afterparty Not Given Pakistan Comedies Movie
Chappie,Neill Blomkamp,South Africa,"Action & Adventure, Sci-Fi & Fantasy",Movie,"Chappie Neill Blomkamp South Africa Action & Adventure, Sci-Fi & Fantasy Movie"
Janoskians: Untold and Untrue,Brett Weiner,United States,Comedies,Movie,Janoskians: Untold and Untrue Brett Weiner United States Comedies Movie
Dancing Angels,Not Given,Pakistan,"International TV Shows, Romantic TV Shows, TV Comedies",TV Show,"Dancing Angels Not Given Pakistan International TV Shows, Romantic TV Shows, TV Comedies TV Show"
Don't be the First one,Not Given,Pakistan,"International TV Shows, Reality TV",TV Show,"Don't be the First one Not Given Pakistan International TV Shows, Reality TV TV Show"
The Wedding Coach,Not Given,Pakistan,"Reality TV, Romantic TV Shows",TV Show,"The Wedding Coach Not Given Pakistan Reality TV, Romantic TV Shows TV Show"
This Is a Robbery: The World's Biggest Art Heist,Not Given,Pakistan,"Crime TV Shows, Docuseries, TV Mysteries",TV Show,"This Is a Robbery: The World's Biggest Art Heist Not Given Pakistan Crime TV Shows, Docuseries, TV Mysteries TV Show"
Glimpses of a Future,Not Given,Pakistan,"Docuseries, International TV Shows",TV Show,"Glimpses of a Future Not Given Pakistan Docuseries, International TV Shows TV Show"
Alien TV,Not Given,Pakistan,"Kids' TV, TV Comedies",TV Show,"Alien TV Not Given Pakistan Kids' TV, TV Comedies TV Show"
Last Chance U: Basketball,Not Given,Pakistan,Docuseries,TV Show,Last Chance U: Basketball Not Given Pakistan Docuseries TV Show
Marriage or Mortgage,Not Given,Pakistan,"Reality TV, Romantic TV Shows",TV Show,"Marriage or Mortgage Not Given Pakistan Reality TV, Romantic TV Shows TV Show"
Pokémon Journeys: The Series,Not Given,Pakistan,"Anime Series, Kids' TV, TV Action & Adventure",TV Show,"Pokémon Journeys: The Series Not Given Pakistan Anime Series, Kids' TV, TV Action & Adventure TV Show"
Barbie Big City Big Dreams,Scott Pleydell-Pearce,Not Given,"Children & Family Movies, Music & Musicals",Movie,"Barbie Big City Big Dreams Scott Pleydell-Pearce Not Given Children & Family Movies, Music & Musicals Movie"
Clear and Present Danger,Phillip Noyce,United States,"Action & Adventure, Dramas",Movie,"Clear and Present Danger Phillip Noyce United States Action & Adventure, Dramas Movie"
Cliffhanger,Renny Harlin,United States,Action & Adventure,Movie,Cliffhanger Renny Harlin United States Action & Adventure Movie
Cold Mountain,Anthony Minghella,United States,"Dramas, Romantic Movies",Movie,"Cold Mountain Anthony Minghella United States Dramas, Romantic Movies Movie"
Crocodile Dundee in Los Angeles,Simon Wincer,Australia,"Action & Adventure, Comedies",Movie,"Crocodile Dundee in Los Angeles Simon Wincer Australia Action & Adventure, Comedies Movie"
Dear John,Lasse Hallström,United States,"Dramas, Romantic Movies",Movie,"Dear John Lasse Hallström United States Dramas, Romantic Movies Movie"
Do the Right Thing,Spike Lee,United States,"Classic Movies, Comedies, Dramas",Movie,"Do the Right Thing Spike Lee United States Classic Movies, Comedies, Dramas Movie"
"El patrón, radiografía de un crimen",Sebastián Schindel,Argentina,"Dramas, International Movies, Thrillers",Movie,"El patrón, radiografía de un crimen Sebastián Schindel Argentina Dramas, International Movies, Thrillers Movie"
Extraction,Steven C. Miller,United States,Action & Adventure,Movie,Extraction Steven C. Miller United States Action & Adventure Movie
Freedom Writers,Richard LaGravenese,Germany,Dramas,Movie,Freedom Writers Richard LaGravenese Germany Dramas Movie
Green Lantern,Martin Campbell,United States,"Action & Adventure, Sci-Fi & Fantasy",Movie,"Green Lantern Martin Campbell United States Action & Adventure, Sci-Fi & Fantasy Movie"
House Party,Reginald Hudlin,United States,"Comedies, Cult Movies",Movie,"House Party Reginald Hudlin United States Comedies, Cult Movies Movie"
House Party 2,"George Jackson, Doug McHenry",United States,"Comedies, Cult Movies, Music & Musicals",Movie,"House Party 2 George Jackson, Doug McHenry United States Comedies, Cult Movies, Music & Musicals Movie"
House Party 3,Eric Meza,United States,"Comedies, Music & Musicals",Movie,"House Party 3 Eric Meza United States Comedies, Music & Musicals Movie"
Ginny & Georgia - The Afterparty,Not Given,Pakistan,"Comedies, Dramas",Movie,"Ginny & Georgia - The Afterparty Not Given Pakistan Comedies, Dramas Movie"
I Got the Hook Up,Michael Martin,United States,"Action & Adventure, Comedies",Movie,"I Got the Hook Up Michael Martin United States Action & Adventure, Comedies Movie"
In Too Deep,Michael Rymer,United States,Thrillers,Movie,In Too Deep Michael Rymer United States Thrillers Movie
Initial D,"Andrew Lau Wai-keung, Alan Mak",China,"Action & Adventure, International Movies",Movie,"Initial D Andrew Lau Wai-keung, Alan Mak China Action & Adventure, International Movies Movie"
The Last Bastion,Not Given,Pakistan,"International TV Shows, Spanish-Language TV Shows, TV Dramas",TV Show,"The Last Bastion Not Given Pakistan International TV Shows, Spanish-Language TV Shows, TV Dramas TV Show"
Thus Spoke Kishibe Rohan,Not Given,Pakistan,"Anime Series, International TV Shows",TV Show,"Thus Spoke Kishibe Rohan Not Given Pakistan Anime Series, International TV Shows TV Show"
Korean Pork Belly Rhapsody,Not Given,Pakistan,"Docuseries, International TV Shows",TV Show,"Korean Pork Belly Rhapsody Not Given Pakistan Docuseries, International TV Shows TV Show"
Labyrinth,Jim Henson,United Kingdom,"Action & Adventure, Children & Family Movies, Cult Movies",Movie,"Labyrinth Jim Henson United Kingdom Action & Adventure, Children & Family Movies, Cult Movies Movie"
Letters to Juliet,Gary Winick,United States,"Comedies, Dramas, Romantic Movies",Movie,"Letters to Juliet Gary Winick United States Comedies, Dramas, Romantic Movies Movie"
Level 16,Danishka Esterhazy,Canada,"Sci-Fi & Fantasy, Thrillers",Movie,"Level 16 Danishka Esterhazy Canada Sci-Fi & Fantasy, Thrillers Movie"
Love Don't Cost a Thing,Troy Byer,United States,"Comedies, Romantic Movies",Movie,"Love Don't Cost a Thing Troy Byer United States Comedies, Romantic Movies Movie"
Love in a Puff,Pang Ho-cheung,Hong Kong,"Comedies, Dramas, International Movies",Movie,"Love in a Puff Pang Ho-cheung Hong Kong Comedies, Dramas, International Movies Movie"
Running Man,Not Given,Pakistan,"Kids' TV, TV Comedies",TV Show,"Running Man Not Given Pakistan Kids' TV, TV Comedies TV Show"
Mars Attacks!,Tim Burton,United States,"Comedies, Cult Movies, Sci-Fi & Fantasy",Movie,"Mars Attacks! Tim Burton United States Comedies, Cult Movies, Sci-Fi & Fantasy Movie"
Marshall,Reginald Hudlin,United States,Dramas,Movie,Marshall Reginald Hudlin United States Dramas Movie
My Boss's Daughter,David Zucker,United States,"Comedies, Romantic Movies",Movie,"My Boss's Daughter David Zucker United States Comedies, Romantic Movies Movie"
Mystery Men,Kinka Usher,United States,"Action & Adventure, Comedies",Movie,"Mystery Men Kinka Usher United States Action & Adventure, Comedies Movie"
Best of Stand-Up 2020,Not Given,Pakistan,Stand-Up Comedy,Movie,Best of Stand-Up 2020 Not Given Pakistan Stand-Up Comedy Movie
Once Upon a Time in America,Sergio Leone,Italy,"Classic Movies, Dramas",Movie,"Once Upon a Time in America Sergio Leone Italy Classic Movies, Dramas Movie"
Open Season 2,"Matthew O'Callaghan, Todd Wilderman",United States,"Children & Family Movies, Comedies",Movie,"Open Season 2 Matthew O'Callaghan, Todd Wilderman United States Children & Family Movies, Comedies Movie"
Osmosis Jones,"Bobby Farrelly, Peter Farrelly",United States,"Action & Adventure, Children & Family Movies, Comedies",Movie,"Osmosis Jones Bobby Farrelly, Peter Farrelly United States Action & Adventure, Children & Family Movies, Comedies Movie"
Poseidon,Wolfgang Petersen,United States,"Action & Adventure, Dramas",Movie,"Poseidon Wolfgang Petersen United States Action & Adventure, Dramas Movie"
Transformers: War for Cybertron: Earthrise,Not Given,Pakistan,Anime Series,TV Show,Transformers: War for Cybertron: Earthrise Not Given Pakistan Anime Series TV Show
Manhunt: Deadly Games,Not Given,Pakistan,"Crime TV Shows, TV Dramas, TV Mysteries",TV Show,"Manhunt: Deadly Games Not Given Pakistan Crime TV Shows, TV Dramas, TV Mysteries TV Show"
The Great British Baking Show: Holidays,Not Given,Pakistan,"British TV Shows, Reality TV",TV Show,"The Great British Baking Show: Holidays Not Given Pakistan British TV Shows, Reality TV TV Show"
Heart & Soul,Not Given,Pakistan,"International TV Shows, TV Dramas",TV Show,"Heart & Soul Not Given Pakistan International TV Shows, TV Dramas TV Show"
Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón,Not Given,Pakistan,Documentaries,Movie,Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón Not Given Pakistan Documentaries Movie
Kongsuni and Friends,Not Given,Pakistan,"Kids' TV, Korean TV Shows",TV Show,"Kongsuni and Friends Not Given Pakistan Kids' TV, Korean TV Shows TV Show"
Pat a Pat Como,Not Given,Pakistan,Kids' TV,TV Show,Pat a Pat Como Not Given Pakistan Kids' TV TV Show
Qurious Como,Not Given,Pakistan,Kids' TV,TV Show,Qurious Como Not Given Pakistan Kids' TV TV Show
Find Yourself,Not Given,Pakistan,"International TV Shows, Romantic TV Shows, TV Comedies",TV Show,"Find Yourself Not Given Pakistan International TV Shows, Romantic TV Shows, TV Comedies TV Show"
Journey of an African Colony,Not Given,Pakistan,"Docuseries, International TV Shows",TV Show,"Journey of an African Colony Not Given Pakistan Docuseries, International TV Shows TV Show"
Mighty Little Bheem,Not Given,Pakistan,"Kids' TV, TV Comedies",TV Show,"Mighty Little Bheem Not Given Pakistan Kids' TV, TV Comedies TV Show"
Rhyme & Reason,Peter Spirer,United States,"Documentaries, Music & Musicals",Movie,"Rhyme & Reason Peter Spirer United States Documentaries, Music & Musicals Movie"
Same Kind of Different as Me,Michael Carney,United States,"Dramas, Faith & Spirituality",Movie,"Same Kind of Different as Me Michael Carney United States Dramas, Faith & Spirituality Movie"
School of Rock,Richard Linklater,United States,"Comedies, Music & Musicals",Movie,"School of Rock Richard Linklater United States Comedies, Music & Musicals Movie"
Snervous Tyler Oakley,Amy Rice,United States,"Documentaries, LGBTQ Movies",Movie,"Snervous Tyler Oakley Amy Rice United States Documentaries, LGBTQ Movies Movie"
Tears of the Sun,Antoine Fuqua,United States,"Action & Adventure, Dramas",Movie,"Tears of the Sun Antoine Fuqua United States Action & Adventure, Dramas Movie"
The Blue Lagoon,Randal Kleiser,United States,"Dramas, Romantic Movies",Movie,"The Blue Lagoon Randal Kleiser United States Dramas, Romantic Movies Movie"
The Golden Child,Michael Ritchie,United States,"Action & Adventure, Comedies",Movie,"The Golden Child Michael Ritchie United States Action & Adventure, Comedies Movie"
The Guns of Navarone,J. Lee Thompson,United Kingdom,"Action & Adventure, Classic Movies",Movie,"The Guns of Navarone J. Lee Thompson United Kingdom Action & Adventure, Classic Movies Movie"
The Interview,"Evan Goldberg, Seth Rogen",United States,"Action & Adventure, Comedies",Movie,"The Interview Evan Goldberg, Seth Rogen United States Action & Adventure, Comedies Movie"
The Nutty Professor,Tom Shadyac,United States,"Comedies, Romantic Movies",Movie,"The Nutty Professor Tom Shadyac United States Comedies, Romantic Movies Movie"
The Nutty Professor II: The Klumps,Peter Segal,United States,"Comedies, Romantic Movies",Movie,"The Nutty Professor II: The Klumps Peter Segal United States Comedies, Romantic Movies Movie"
Welcome Home Roscoe Jenkins,Malcolm D. Lee,United States,Comedies,Movie,Welcome Home Roscoe Jenkins Malcolm D. Lee United States Comedies Movie
In the Line of Fire,Wolfgang Petersen,United States,"Action & Adventure, Classic Movies",Movie,"In the Line of Fire Wolfgang Petersen United States Action & Adventure, Classic Movies Movie"
